bag_t,ros_t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,raw
1761939168.1381142,1761939168.1374729,-1.8605209826259556e-05,-1.5481070465189703e-05,-2.546435378659727e-05,-0.021,-0.214,9.821,2.4590000000000003e-05,4.72e-06,3.346e-05,"$VNYMR,-077.704,-001.307,+000.150,+00.0472,+00.2459,-00.3346,-00.214,-00.021,-09.821,-00.000887,-00.001066,+00.001459*6C"
1761939168.1631184,1761939168.1624722,-1.9460421159736775e-05,2.7611108766550295e-05,9.494591130849153e-06,-0.03,-0.218,9.952,2.4200000000000002e-05,4.710000000000001e-06,3.3350000000000004e-05,"$VNYMR,-077.704,-001.308,+000.150,+00.0471,+00.2420,-00.3335,-00.218,-00.030,-09.952,+00.001582,-00.001115,-00.000544*63"
1761939168.1880474,1761939168.1874247,-2.460914245312005e-06,-2.0158552860534506e-05,-1.7296212887263805e-05,-0.016,-0.207,9.858,2.41e-05,4.51e-06,3.413e-05,"$VNYMR,-077.703,-001.310,+000.148,+00.0451,+00.2410,-00.3413,-00.207,-00.016,-09.858,-00.001155,-00.000141,+00.000991*6D"
1761939168.2131162,1761939168.2124293,-7.871434926494426e-06,3.928736146239236e-05,2.722713633111154e-06,-0.008,-0.221,9.897,2.449e-05,4.81e-06,3.346e-05,"$VNYMR,-077.703,-001.310,+000.150,+00.0481,+00.2449,-00.3346,-00.221,-00.008,-09.897,+00.002251,-00.000451,-00.000156*69"
1761939168.2385027,1761939168.2376416,1.5323990832510212e-05,-6.248278722139699e-06,-2.0123646275494617e-05,-0.015,-0.231,9.843,2.468e-05,4.62e-06,3.479e-05,"$VNYMR,-077.702,-001.310,+000.150,+00.0462,+00.2468,-00.3479,-00.231,-00.015,-09.843,-00.000358,+00.000878,+00.001153*66"
1761939168.2641647,1761939168.2638893,4.5902159327450866e-05,1.1047934165124105e-05,-7.976154681614086e-06,-0.05,-0.241,9.95,2.479e-05,4.53e-06,3.381e-05,"$VNYMR,-077.701,-001.310,+000.151,+00.0453,+00.2479,-00.3381,-00.241,-00.050,-09.950,+00.000633,+00.002630,+00.000457*6D"
1761939168.289409,1761939168.288724,-3.490658503988659e-05,-2.2567107228286684e-05,8.395033702092725e-06,-0.024,-0.225,9.869,2.478e-05,4.62e-06,3.38e-05,"$VNYMR,-077.702,-001.309,+000.151,+00.0462,+00.2478,-00.3380,-00.225,-00.024,-09.869,-00.001293,-00.002000,-00.000481*69"
1761939168.312677,1761939168.3124301,-8.133234314293576e-06,1.5899949485668344e-05,2.1380283336930536e-05,-0.036,-0.175,10.178,2.4390000000000002e-05,4.62e-06,3.3910000000000006e-05,"$VNYMR,-077.703,-001.306,+000.152,+00.0462,+00.2439,-00.3391,-00.175,-00.036,-10.178,+00.000911,-00.000466,-00.001225*6C"
1761939168.337603,1761939168.3374157,3.286454981505322e-05,-4.338888520457903e-05,-1.8465583486100006e-05,-0.002,-0.266,9.737,2.557e-05,4.540000000000001e-06,3.348e-05,"$VNYMR,-077.702,-001.308,+000.151,+00.0454,+00.2557,-00.3348,-00.266,-00.002,-09.737,-00.002486,+00.001883,+00.001058*62"
1761939168.362719,1761939168.3624823,2.2951079663725433e-05,4.5518186892012114e-05,-3.7350045992678654e-06,-0.001,-0.234,10.021,2.498e-05,4.6300000000000006e-06,3.369e-05,"$VNYMR,-077.701,-001.307,+000.153,+00.0463,+00.2498,-00.3369,-00.234,-00.001,-10.021,+00.002608,+00.001315,+00.000214*68"
1761939168.3885145,1761939168.3875482,-1.6929693744344997e-05,-3.841469683639519e-05,-6.440264939859077e-06,-0.02,-0.244,9.779,2.44e-05,4.420000000000001e-06,3.381e-05,"$VNYMR,-077.702,-001.308,+000.151,+00.0442,+00.2440,-00.3381,-00.244,-00.020,-09.779,-00.002201,-00.000970,+00.000369*6E"
1761939168.4144015,1761939168.4125729,1.5481070465189703e-05,1.0786134777324956e-05,3.6302848441482052e-06,-0.032,-0.226,9.934,2.537e-05,4.540000000000001e-06,3.337e-05,"$VNYMR,-077.703,-001.307,+000.152,+00.0454,+00.2537,-00.3337,-00.226,-00.032,-09.934,+00.000618,+00.000887,-00.000208*6F"
1761939168.4372385,1761939168.4366055,-7.609635538695278e-06,9.94837673636768e-07,-1.2217304763960308e-07,-0.023,-0.229,9.897,2.488e-05,4.72e-06,3.302e-05,"$VNYMR,-077.703,-001.308,+000.151,+00.0472,+00.2488,-00.3302,-00.229,-00.023,-09.897,+00.000057,-00.000436,+00.000007*65"
1761939168.4636075,1761939168.46267,1.5498523757709647e-05,-1.5777776438028738e-05,-6.0388392119003805e-06,-0.031,-0.24,9.875,2.449e-05,4.52e-06,3.38e-05,"$VNYMR,-077.703,-001.307,+000.152,+00.0452,+00.2449,-00.3380,-00.240,-00.031,-09.875,-00.000904,+00.000888,+00.000346*6C"
1761939168.4876661,1761939168.4867156,-1.270599695451872e-05,7.661995416255106e-06,1.4468779499032992e-05,-0.044,-0.239,9.92,2.4690000000000002e-05,4.43e-06,3.414e-05,"$VNYMR,-077.703,-001.307,+000.152,+00.0443,+00.2469,-00.3414,-00.239,-00.044,-09.920,+00.000439,-00.000728,-00.000829*6B"
1761939168.513558,1761939168.512643,3.4906585039886593e-07,-3.218387140677543e-05,1.0402162341886204e-05,-0.035,-0.238,9.899,2.449e-05,4.62e-06,3.369e-05,"$VNYMR,-077.702,-001.306,+000.151,+00.0462,+00.2449,-00.3369,-00.238,-00.035,-09.899,-00.001844,+00.000020,-00.000596*61"
1761939168.5374866,1761939168.5369449,7.155849933176751e-06,-4.398229715025711e-06,8.185594191853407e-06,-0.024,-0.224,9.924,2.4390000000000002e-05,4.72e-06,3.346e-05,"$VNYMR,-077.702,-001.305,+000.151,+00.0472,+00.2439,-00.3346,-00.224,-00.024,-09.924,-00.000252,+00.000410,-00.000469*69"
1761939168.56301,1761939168.5625916,-5.742133239061343e-06,-8.779006137531477e-06,-6.771877497737999e-06,-0.012,-0.232,9.844,2.4690000000000002e-05,4.62e-06,3.347e-05,"$VNYMR,-077.701,-001.306,+000.150,+00.0462,+00.2469,-00.3347,-00.232,-00.012,-09.844,-00.000503,-00.000329,+00.000388*6E"
1761939168.5867493,1761939168.5865533,9.302604913129778e-06,1.7191493132144147e-05,-2.600540585471551e-05,-0.034,-0.243,9.921,2.44e-05,4.43e-06,3.314e-05,"$VNYMR,-077.699,-001.306,+000.150,+00.0443,+00.2440,-00.3314,-00.243,-00.034,-09.921,+00.000985,+00.000533,+00.001490*60"
1761939168.6127212,1761939168.6125076,1.8849555921538758e-05,-8.796459430051422e-06,-3.9968039870670145e-06,-0.016,-0.217,9.882,2.43e-05,4.710000000000001e-06,3.379e-05,"$VNYMR,-077.700,-001.305,+000.150,+00.0471,+00.2430,-00.3379,-00.217,-00.016,-09.882,-00.000504,+00.001080,+00.000229*6C"
1761939168.6370273,1761939168.6366496,4.5727626402251436e-06,4.86946861306418e-06,1.937315469713706e-05,-0.036,-0.229,9.872,2.488e-05,4.92e-06,3.357e-05,"$VNYMR,-077.700,-001.306,+000.151,+00.0492,+00.2488,-00.3357,-00.229,-00.036,-09.872,+00.000279,+00.000262,-00.001110*66"
1761939168.6627972,1761939168.6625679,-1.2810716709638379e-05,-4.9567350756638966e-06,2.7576202181510406e-05,-0.041,-0.201,9.873,2.5180000000000003e-05,4.7300000000000005e-06,3.325e-05,"$VNYMR,-077.702,-001.305,+000.151,+00.0473,+00.2518,-00.3325,-00.201,-00.041,-09.873,-00.000284,-00.000734,-00.001580*67"
1761939168.6876528,1761939168.6870203,2.9408797896104453e-05,6.265732014659643e-06,-6.824237375297829e-06,-0.026,-0.212,9.883,2.498e-05,4.6300000000000006e-06,3.358e-05,"$VNYMR,-077.702,-001.304,+000.151,+00.0463,+00.2498,-00.3358,-00.212,-00.026,-09.883,+00.000359,+00.001685,+00.000391*62"
1761939168.713646,1761939168.7126703,2.6110125609835168e-05,6.300638599699529e-06,-1.0105456369047168e-05,-0.029,-0.187,9.81,2.449e-05,4.52e-06,3.38e-05,"$VNYMR,-077.702,-001.303,+000.150,+00.0452,+00.2449,-00.3380,-00.187,-00.029,-09.810,+00.000361,+00.001496,+00.000579*6E"
1761939168.7370026,1761939168.736655,-2.879793265790644e-06,1.949532774477666e-05,-6.126105674500097e-06,-0.019,-0.224,9.877,2.43e-05,4.62e-06,3.369e-05,"$VNYMR,-077.703,-001.303,+000.152,+00.0462,+00.2430,-00.3369,-00.224,-00.019,-09.877,+00.001117,-00.000165,+00.000351*6F"
1761939168.7636142,1761939168.7626889,-3.7280232822598876e-05,2.1502456384570142e-05,1.0524335389525808e-05,-0.027,-0.256,9.941,2.478e-05,4.72e-06,3.358e-05,"$VNYMR,-077.703,-001.302,+000.149,+00.0472,+00.2478,-00.3358,-00.256,-00.027,-09.941,+00.001232,-00.002136,-00.000603*63"
